DATE,USPRIV_PCH
1987-11-01,0.23757
1987-12-01,0.27999
1988-01-01,0.08573
1988-02-01,0.50586
1988-03-01,0.24993
1988-04-01,0.27343
1988-05-01,0.23029
1988-06-01,0.37722
1988-07-01,0.27901
1988-08-01,0.08404
1988-09-01,0.28254
1988-10-01,0.25685
1988-11-01,0.29908
1988-12-01,0.32744
1989-01-01,0.25235
1989-02-01,0.25507
1989-03-01,0.20532
1989-04-01,0.16927
1989-05-01,0.09561
1989-06-01,0.08663
1989-07-01,0.05437
1989-08-01,-0.03660
1989-09-01,0.23410
1989-10-01,0.11180
1989-11-01,0.27863
1989-12-01,0.07277
1990-01-01,0.30410
1990-02-01,0.23946
1990-03-01,0.09534
1990-04-01,-0.05364
1990-05-01,-0.06463
1990-06-01,0.07344
1990-07-01,-0.04162
1990-08-01,-0.12163
1990-09-01,-0.07460
1990-10-01,-0.16907
1990-11-01,-0.17596
1990-12-01,-0.07271
1991-01-01,-0.14112
1991-02-01,-0.36102
1991-03-01,-0.18726
1991-04-01,-0.23757
1991-05-01,-0.12797
1991-06-01,0.02785
1991-07-01,-0.09357
1991-08-01,0.04683
1991-09-01,0.06352
1991-10-01,-0.02562
1991-11-01,-0.10471
1991-12-01,0.02007
1992-01-01,-0.01449
1992-02-01,-0.06133
1992-03-01,0.02343
1992-04-01,0.14613
1992-05-01,0.13255
1992-06-01,0.06674
1992-07-01,0.03002
1992-08-01,0.06335
1992-09-01,0.09662
1992-10-01,0.20083
1992-11-01,0.14506
1992-12-01,0.20567
1993-01-01,0.29683
1993-02-01,0.27395
1993-03-01,-0.06254
1993-04-01,0.29862
1993-05-01,0.28679
1993-06-01,0.17791
1993-07-01,0.23752
1993-08-01,0.19674
1993-09-01,0.25276
1993-10-01,0.29974
1993-11-01,0.24814
1993-12-01,0.31532
1994-01-01,0.25425
1994-02-01,0.19047
1994-03-01,0.44965
1994-04-01,0.33386
1994-05-01,0.31262
1994-06-01,0.32115
1994-07-01,0.36119
1994-08-01,0.30114
1994-09-01,0.33894
1994-10-01,0.20434
1994-11-01,0.40785
1994-12-01,0.29118
1995-01-01,0.33166
1995-02-01,0.18330
1995-03-01,0.20044
1995-04-01,0.15490
1995-05-01,0.00102
1995-06-01,0.21304
1995-07-01,0.10221
1995-08-01,0.27568
1995-09-01,0.24437
1995-10-01,0.11681
1995-11-01,0.14204
1995-12-01,0.15602
1996-01-01,0.00910
1996-02-01,0.38536
1996-03-01,0.21058
1996-04-01,0.18400
1996-05-01,0.32015
1996-06-01,0.28211
1996-07-01,0.22545
1996-08-01,0.22793
1996-09-01,0.13704
1996-10-01,0.27173
1996-11-01,0.27198
1996-12-01,0.18741
1997-01-01,0.19296
1997-02-01,0.30166
1997-03-01,0.29781
1997-04-01,0.29302
1997-05-01,0.26198
1997-06-01,0.20010
1997-07-01,0.26174
1997-08-01,0.04738
1997-09-01,0.40879
1997-10-01,0.27719
1997-11-01,0.27067
1997-12-01,0.30344
1998-01-01,0.24622
1998-02-01,0.18088
1998-03-01,0.13209
1998-04-01,0.24580
1998-05-01,0.32282
1998-06-01,0.21421
1998-07-01,0.07439
1998-08-01,0.29169
1998-09-01,0.16137
1998-10-01,0.17703
1998-11-01,0.21599
1998-12-01,0.31722
1999-01-01,0.09301
1999-02-01,0.32894
1999-03-01,0.08521
1999-04-01,0.27298
1999-05-01,0.20303
1999-06-01,0.21643
1999-07-01,0.24537
1999-08-01,0.10176
1999-09-01,0.16759
1999-10-01,0.31542
1999-11-01,0.22603
1999-12-01,0.24552
2000-01-01,0.17961
2000-02-01,0.07516
2000-03-01,0.31759
2000-04-01,0.18941
2000-05-01,-0.11073
2000-06-01,0.19286
2000-07-01,0.16731
2000-08-01,0.03143
2000-09-01,0.20378
2000-10-01,-0.01075
2000-11-01,0.16486
2000-12-01,0.10824
2001-01-01,-0.04557
2001-02-01,0.01430
2001-03-01,-0.06346
2001-04-01,-0.30767
2001-05-01,-0.07267
2001-06-01,-0.20111
2001-07-01,-0.15563
2001-08-01,-0.16218
2001-09-01,-0.25540
2001-10-01,-0.31306
2001-11-01,-0.32765
2001-12-01,-0.16937
2002-01-01,-0.14138
2002-02-01,-0.12149
2002-03-01,-0.04756
2002-04-01,-0.10614
2002-05-01,-0.05038
2002-06-01,0.01375
2002-07-01,-0.08705
2002-08-01,-0.03760
2002-09-01,-0.04220
2002-10-01,0.10096
2002-11-01,-0.02292
2002-12-01,-0.14215
2003-01-01,0.06521
2003-02-01,-0.12299
2003-03-01,-0.18012
2003-04-01,-0.03867
2003-05-01,0.04513
2003-06-01,-0.04050
2003-07-01,-0.03315
2003-08-01,0.04330
2003-09-01,0.13905
2003-10-01,0.12230
2003-11-01,0.06062
2003-12-01,0.09362
2004-01-01,0.16323
2004-02-01,0.04120
2004-03-01,0.25533
2004-04-01,0.22364
2004-05-01,0.25866
2004-06-01,0.09811
2004-07-01,0.04991
2004-08-01,0.06077
2004-09-01,0.12420
2004-10-01,0.29879
2004-11-01,0.03611
2004-12-01,0.11099
2005-01-01,0.09284
2005-02-01,0.22154
2005-03-01,0.11142
2005-04-01,0.31325
2005-05-01,0.12885
2005-06-01,0.24217
2005-07-01,0.23445
2005-08-01,0.17076
2005-09-01,0.06570
2005-10-01,0.09671
2005-11-01,0.28986
2005-12-01,0.12374
2006-01-01,0.26129
2006-02-01,0.24212
2006-03-01,0.24944
2006-04-01,0.13580
2006-05-01,0.02537
2006-06-01,0.07435
2006-07-01,0.12499
2006-08-01,0.11174
2006-09-01,0.05668
2006-10-01,0.03312
2006-11-01,0.17947
2006-12-01,0.15567
2007-01-01,0.18756
2007-02-01,0.03640
2007-03-01,0.18107
2007-04-01,0.03113
2007-05-01,0.11412
2007-06-01,0.05613
2007-07-01,0.00518
2007-08-01,-0.06904
2007-09-01,0.02850
2007-10-01,0.04576
2007-11-01,0.06990
2007-12-01,0.05519
2008-01-01,-0.00948
2008-02-01,-0.09051
2008-03-01,-0.08110
2008-04-01,-0.19342
2008-05-01,-0.19379
2008-06-01,-0.16643
2008-07-01,-0.21533
2008-08-01,-0.24538
2008-09-01,-0.36723
2008-10-01,-0.41674
2008-11-01,-0.66728
2008-12-01,-0.61335
2009-01-01,-0.71509
2009-02-01,-0.67719
2009-03-01,-0.72425
2009-04-01,-0.71407
2009-05-01,-0.27028
2009-06-01,-0.39227
2009-07-01,-0.26377
