DATE,USCONS_PCH
1986-10-01,0.30371
1986-11-01,0.12111
1986-12-01,0.66532
1987-01-01,0.28039
1987-02-01,0.61913
1987-03-01,0.01985
1987-04-01,0.27783
1987-05-01,0.53434
1987-06-01,0.11811
1987-07-01,0.11797
1987-08-01,0.19639
1987-09-01,-0.11760
1987-10-01,0.90267
1987-11-01,0.19448
1987-12-01,0.54348
1988-01-01,-1.66023
1988-02-01,1.33490
1988-03-01,0.75552
1988-04-01,0.49990
1988-05-01,0.01913
1988-06-01,0.63122
1988-07-01,0.17107
1988-08-01,-0.03795
1988-09-01,0.03797
1988-10-01,-0.15180
1988-11-01,0.20905
1988-12-01,0.07586
1989-01-01,0.22740
1989-02-01,-0.20798
1989-03-01,-0.34104
1989-04-01,0.66540
1989-05-01,0.07554
1989-06-01,-0.01887
1989-07-01,0.35863
1989-08-01,0.24450
1989-09-01,-0.13133
1989-10-01,0.45087
1989-11-01,0.31794
1989-12-01,-1.02535
1990-01-01,2.12846
1990-02-01,-0.11066
1990-03-01,-0.44313
1990-04-01,-0.68620
1990-05-01,-0.63492
1990-06-01,-0.33828
1990-07-01,-0.54686
1990-08-01,-0.75844
1990-09-01,-0.70692
1990-10-01,-1.21224
1990-11-01,-0.75964
1990-12-01,-0.94210
1991-01-01,-1.48603
1991-02-01,-0.86484
1991-03-01,-0.97383
1991-04-01,-0.79902
1991-05-01,-0.86741
1991-06-01,-0.37500
1991-07-01,-0.62735
1991-08-01,-0.39983
1991-09-01,-0.10564
1991-10-01,-0.63452
1991-11-01,-1.23457
1991-12-01,0.15086
1992-01-01,0.43039
1992-02-01,-1.17849
1992-03-01,0.19514
1992-04-01,-0.38953
1992-05-01,0.04345
1992-06-01,-0.45603
1992-07-01,-0.30541
1992-08-01,0.24070
1992-09-01,0.06549
1992-10-01,0.34904
1992-11-01,0.13043
1992-12-01,0.52106
1993-01-01,0.73434
1993-02-01,1.07204
1993-03-01,-0.80611
1993-04-01,0.29940
1993-05-01,1.34328
1993-06-01,0.14728
1993-07-01,0.48319
1993-08-01,0.48087
1993-09-01,0.35372
1993-10-01,0.93303
1993-11-01,0.39030
1993-12-01,0.77757
1994-01-01,0.30457
1994-02-01,-0.34413
1994-03-01,1.36096
1994-04-01,1.14228
1994-05-01,0.73311
1994-06-01,0.25570
1994-07-01,0.54934
1994-08-01,0.27317
1994-09-01,0.70053
1994-10-01,0.03865
1994-11-01,0.63743
1994-12-01,0.30710
1995-01-01,0.15308
1995-02-01,-0.80245
1995-03-01,0.96302
1995-04-01,0.19077
1995-05-01,-0.60929
1995-06-01,0.57471
1995-07-01,0.22857
1995-08-01,0.45610
1995-09-01,0.71888
1995-10-01,0.54470
1995-11-01,0.09341
1995-12-01,-0.26129
1996-01-01,0.20584
1996-02-01,1.12045
1996-03-01,0.57248
1996-04-01,0.51414
1996-05-01,0.43844
1996-06-01,0.65478
1996-07-01,0.41561
1996-08-01,0.52186
1996-09-01,0.42965
1996-10-01,0.58824
1996-11-01,0.44303
1996-12-01,0.12350
