DATE,USINFO_PCH
2010-11-01,-0.22263
2010-12-01,-0.26032
2011-01-01,-0.14914
2011-02-01,-0.22405
2011-03-01,0.00000
2011-04-01,0.07485
2011-05-01,0.18699
2011-06-01,0.22396
2011-07-01,-0.37244
2011-08-01,-1.60748
2011-09-01,1.67173
2011-10-01,0.03737
2011-11-01,-0.03736
2011-12-01,0.11211
2012-01-01,-0.52258
2012-02-01,0.41276
2012-03-01,0.07474
2012-04-01,0.07468
2012-05-01,0.18657
2012-06-01,-0.40968
2012-07-01,0.18699
2012-08-01,-0.14931
2012-09-01,-0.18692
2012-10-01,-0.14981
2012-11-01,0.30008
2012-12-01,0.11219
2013-01-01,-0.56033
2013-02-01,1.35237
2013-03-01,0.07413
2013-04-01,-0.14815
2013-05-01,0.51929
2013-06-01,-0.18450
2013-07-01,0.55453
2013-08-01,-1.06618
2013-09-01,0.63174
2013-10-01,0.36928
2013-11-01,0.14717
2013-12-01,0.18369
2014-01-01,-0.11001
2014-02-01,-0.22026
2014-03-01,0.25754
2014-04-01,-0.14679
2014-05-01,-0.14700
2014-06-01,0.18403
2014-07-01,0.11021
2014-08-01,0.29358
2014-09-01,0.03659
2014-10-01,-0.25604
2014-11-01,0.29336
2014-12-01,0.07313
2015-01-01,0.10961
2015-02-01,0.03650
2015-03-01,-0.14593
2015-04-01,0.18268
2015-05-01,0.18235
2015-06-01,0.03640
2015-07-01,0.14556
2015-08-01,-0.03634
2015-09-01,0.47256
2015-10-01,0.07236
2015-11-01,-0.54230
2015-12-01,0.36350
2016-01-01,0.03622
2016-02-01,0.47067
2016-03-01,0.36036
2016-04-01,0.14363
2016-05-01,-1.36250
2016-06-01,1.81752
2016-07-01,-0.07140
2016-08-01,0.14291
2016-09-01,0.49946
2016-10-01,-0.10650
2016-11-01,-0.07107
2016-12-01,0.17781
2017-01-01,0.14200
2017-02-01,-0.21269
2017-03-01,-0.07105
2017-04-01,-0.31994
2017-05-01,-0.10699
2017-06-01,0.35702
2017-07-01,-0.07115
2017-08-01,0.14240
2017-09-01,0.10665
2017-10-01,-0.17756
2017-11-01,0.14230
2017-12-01,0.10657
2018-01-01,-0.03549
2018-02-01,0.07100
2018-03-01,0.24832
2018-04-01,0.42463
2018-05-01,0.10571
2018-06-01,-0.10560
2018-07-01,0.10571
2018-08-01,-0.03520
2018-09-01,-0.07042
2018-10-01,0.42283
2018-11-01,0.00000
2018-12-01,0.03509
2019-01-01,-0.31568
2019-02-01,0.07037
2019-03-01,0.21097
2019-04-01,-0.14035
2019-05-01,0.28110
2019-06-01,0.66573
2019-07-01,-0.24365
2019-08-01,0.03489
2019-09-01,0.17440
2019-10-01,0.03482
2019-11-01,0.34807
2019-12-01,0.27749
2020-01-01,0.34590
2020-02-01,0.24130
2020-03-01,-0.30949
2020-04-01,-8.93412
2020-05-01,-1.13636
2020-06-01,0.45977
2020-07-01,-0.19069
2020-08-01,0.95529
2020-09-01,2.11961
2020-10-01,-0.11119
2020-11-01,0.25974
2020-12-01,0.48113
2021-01-01,1.25230
2021-02-01,0.58203
2021-03-01,0.18083
2021-04-01,0.79422
2021-05-01,1.00287
2021-06-01,0.60284
2021-07-01,1.02221
2021-08-01,1.25611
2021-09-01,0.51688
2021-10-01,0.58279
2021-11-01,0.71575
2021-12-01,0.60914
2022-01-01,0.40363
2022-02-01,0.23451
2022-03-01,0.86898
2022-04-01,0.56329
2022-05-01,1.05437
2022-06-01,0.71731
2022-07-01,0.42085
2022-08-01,0.25790
2022-09-01,0.09646
2022-10-01,0.09637
2022-11-01,0.41720
2022-12-01,-0.28763
2023-01-01,-0.73718
2023-02-01,-0.25831
2023-03-01,0.09712
2023-04-01,0.09702
2023-05-01,-0.12924
2023-06-01,-0.32352
2023-07-01,-0.61668
2023-08-01,-0.71848
2023-09-01,-0.13158
2023-10-01,-0.29644
