,Month,Deficit_mil
390,2013-04-01,112889.0
391,2013-05-01,-138732.0
392,2013-06-01,116501.0
393,2013-07-01,-97597.0
394,2013-08-01,-147905.0
395,2013-09-01,75114.0
396,2013-10-01,-90586.0
397,2013-11-01,-135226.0
398,2013-12-01,53220.0
399,2014-01-01,-10250.0
400,2014-02-01,-193532.0
401,2014-03-01,-36895.0
402,2014-04-01,106853.0
403,2014-05-01,-129971.0
404,2014-06-01,70519.0
405,2014-07-01,-94621.0
406,2014-08-01,-128677.0
407,2014-09-01,105803.0
408,2014-10-01,-121713.0
409,2014-11-01,-56818.0
410,2014-12-01,1864.0
411,2015-01-01,-14996.0
412,2015-02-01,-192359.0
413,2015-03-01,-52910.05993036
414,2015-04-01,156714.07843925
415,2015-05-01,-82385.27841904
416,2015-06-01,51775.76400154
417,2015-07-01,-149186.76611285
418,2015-08-01,-64420.51991251
419,2015-09-01,91060.53109438
420,2015-10-01,-136532.08481492
421,2015-11-01,-64552.91957894
422,2015-12-01,-14443.9438535
423,2016-01-01,55163.28851489
424,2016-02-01,-192614.00170636
425,2016-03-01,-108042.73073878
426,2016-04-01,106451.87183668
427,2016-05-01,-52507.41284454
428,2016-06-01,6251.98744016
429,2016-07-01,-112815.2385045
430,2016-08-01,-107111.57568004
431,2016-09-01,33359.49405496
432,2016-10-01,-44192.20097674
433,2016-11-01,-136650.57490356
434,2016-12-01,-27515.79855866
435,2017-01-01,51257.177643
436,2017-02-01,-192044.46533546
437,2017-03-01,-176232.32530805
438,2017-04-01,182428.05764871
439,2017-05-01,-88425.99436618
440,2017-06-01,-90233.19107067
441,2017-07-01,-42939.37760097
442,2017-08-01,-107688.77677988
443,2017-09-01,8000.08293523
444,2017-10-01,-63214.01796695
445,2017-11-01,-138547.43781759
446,2017-12-01,-23193.55948872
447,2018-01-01,49235.72070792
448,2018-02-01,-215248.1724224
449,2018-03-01,-208743.24980988
450,2018-04-01,214255.11366731
451,2018-05-01,-146796.44336556
452,2018-06-01,-74857.99046356
453,2018-07-01,-76865.22967062
454,2018-08-01,-214147.52548064
455,2018-09-01,119116.00888032
456,2018-10-01,-100491.14254473
457,2018-11-01,-204902.55739878
458,2018-12-01,-13539.35862905
459,2019-01-01,8682.86661098
460,2019-02-01,-233977.2488268
461,2019-03-01,-146944.76565389
462,2019-04-01,160304.50890986
463,2019-05-01,-207768.39134666
464,2019-06-01,-8476.31845422
465,2019-07-01,-119695.80619346
466,2019-08-01,-200344.34892913
467,2019-09-01,82767.65846478
468,2019-10-01,-134467.56493381
469,2019-11-01,-208838.29445674
470,2019-12-01,-13272.55731642
471,2020-01-01,-32593.28000764
472,2020-02-01,-235335.21387457
477,2020-07-01,-62991.72639454
478,2020-08-01,-200095.01510766
479,2020-09-01,-124610.55841919
480,2020-10-01,-284070.53717284
481,2020-11-01,-145266.26352985
482,2020-12-01,-143562.32743913
483,2021-01-01,-162832.48946754
484,2021-02-01,-310921.94250467
485,2021-03-01,-659591.61844058
486,2021-04-01,-225579.46032577
487,2021-05-01,-131953.06316821
488,2021-06-01,-174160.55026216
489,2021-07-01,-302050.4883435
490,2021-08-01,-170634.65366187
491,2021-09-01,-61544.25121268
492,2021-10-01,-165055.36693325
493,2021-11-01,-191335.04052197
494,2021-12-01,-21303.12942523
495,2022-01-01,118698.85824166
496,2022-02-01,-216589.75205605
497,2022-03-01,-192682.38665693
498,2022-04-01,308215.06052679
499,2022-05-01,-66222.56120958
500,2022-06-01,-88841.51292609
501,2022-07-01,-211051.76005026
502,2022-08-01,-219596.24094964
503,2022-09-01,-429673.47896184
504,2022-10-01,-87797.83631139
505,2022-11-01,-248534.88065258
506,2022-12-01,-85000.73657788
507,2023-01-01,-38783.77183922
508,2023-02-01,-262433.84319423
509,2023-03-01,-378076.31647174
510,2023-04-01,176180.79034912
511,2023-05-01,-240348.23965837
512,2023-06-01,-227768.41253805
513,2023-07-01,-220782.0973536
514,2023-08-01,89255.57269373
515,2023-09-01,-170982.20087478
