DATE,H8B3094NCBA
1993-05-26,469157.7
1993-06-02,467126.8
1993-06-09,482118.6
1993-06-16,486154.3
1993-06-23,476205.9
1993-06-30,473595.1
1993-07-07,499241.9
1993-07-14,489766.2
1993-07-21,495938.6
1993-07-28,477986.4
1993-08-04,490364.0
1993-08-11,487372.9
1993-08-18,487447.3
1993-08-25,480641.7
1993-09-01,489048.4
1993-09-08,478624.4
1993-09-15,491601.1
1993-09-22,492591.9
1993-09-29,500334.9
1993-10-06,485359.7
1993-10-13,498867.1
1993-10-20,486135.9
1993-10-27,486343.8
1993-11-03,476578.9
1993-11-10,488961.6
1993-11-17,481465.6
1993-11-24,498452.3
1993-12-01,492387.3
1993-12-08,495874.8
1993-12-15,489214.4
1993-12-22,496994.2
1993-12-29,512937.7
1994-01-05,499576.5
1994-01-12,501759.3
1994-01-19,505159.7
1994-01-26,495119.5
1994-02-02,512408.9
1994-02-09,509589.0
1994-02-16,496403.8
1994-02-23,503484.8
1994-03-02,508026.0
1994-03-09,495529.6
1994-03-16,509685.2
1994-03-23,516047.2
1994-03-30,520960.4
1994-04-06,514421.3
1994-04-13,515859.4
1994-04-20,518339.1
1994-04-27,529048.9
1994-05-04,517854.8
1994-05-11,535719.6
1994-05-18,526753.5
1994-05-25,524527.1
1994-06-01,530175.7
1994-06-08,531854.4
1994-06-15,522212.8
1994-06-22,544587.5
1994-06-29,553784.5
1994-07-06,549604.3
1994-07-13,550675.2
1994-07-20,553490.3
1994-07-27,552550.8
1994-08-03,544569.3
1994-08-10,548115.3
1994-08-17,553669.8
1994-08-24,558695.6
1994-08-31,571927.3
1994-09-07,546860.0
1994-09-14,547515.3
1994-09-21,569798.1
1994-09-28,566245.4
1994-10-05,539783.7
1994-10-12,556070.7
1994-10-19,559130.5
1994-10-26,571985.4
1994-11-02,572290.9
1994-11-09,564900.5
1994-11-16,561215.9
1994-11-23,575501.3
1994-11-30,588509.9
1994-12-07,578789.3
1994-12-14,577394.0
1994-12-21,594153.7
1994-12-28,588873.4
1995-01-04,583516.2
1995-01-11,593562.5
1995-01-18,595553.3
1995-01-25,593466.9
1995-02-01,610523.1
1995-02-08,588148.1
1995-02-15,608295.0
1995-02-22,603173.2
1995-03-01,614382.8
1995-03-08,592555.8
1995-03-15,609047.6
1995-03-22,597723.2
1995-03-29,604374.4
